mu,phi,theta,lambda,alpha,beta
0.3,0.2,1.01,1.53,99,506.06
1,0.2,1.01,5.05,99,500
3,0.2,1.01,14.99,99,494.54
0.3,0.5,1.01,0.61,99,202.42
1,0.5,1.01,2.02,99,200
3,0.5,1.01,5.99,99,197.81
0.3,1,1.01,0.31,99,101.21
1,1,1.01,1.01,99,100
3,1,1.01,3,99,98.91
0.3,3,1.01,0.1,99,33.74
1,3,1.01,0.34,99,33.33
3,3,1.01,1,99,32.97
0.3,0.2,1.05,1.68,19,106.2
1,0.2,1.05,5.26,19,100
3,0.2,1.05,14.95,19,94.66
0.3,0.5,1.05,0.67,19,42.48
1,0.5,1.05,2.11,19,40
3,0.5,1.05,5.98,19,37.86
0.3,1,1.05,0.34,19,21.24
1,1,1.05,1.05,19,20
3,1,1.05,2.99,19,18.93
0.3,3,1.05,0.11,19,7.08
1,3,1.05,0.35,19,6.67
3,3,1.05,1,19,6.31
0.3,0.2,1.3,3.08,2.33,23.92
1,0.2,1.3,7.14,2.33,16.67
3,0.2,1.3,15.41,2.33,11.99
0.3,0.5,1.3,1.23,2.33,9.57
1,0.5,1.3,2.86,2.33,6.67
3,0.5,1.3,6.16,2.33,4.79
0.3,1,1.3,0.62,2.33,4.78
1,1,1.3,1.43,2.33,3.33
3,1,1.3,3.08,2.33,2.4
0.3,3,1.3,0.21,2.33,1.59
1,3,1.3,0.48,2.33,1.11
3,3,1.3,1.03,2.33,0.8
0.3,0.2,1.9,44.33,0.11,16.42
1,0.2,1.9,50,0.11,5.56
3,0.2,1.9,55.81,0.11,2.07
0.3,0.5,1.9,17.73,0.11,6.57
1,0.5,1.9,20,0.11,2.22
3,0.5,1.9,22.32,0.11,0.83
0.3,1,1.9,8.87,0.11,3.28
1,1,1.9,10,0.11,1.11
3,1,1.9,11.16,0.11,0.41
0.3,3,1.9,2.96,0.11,1.09
1,3,1.9,3.33,0.11,0.37
3,3,1.9,3.72,0.11,0.14